"name","full","half","even","odd","pass1","pass2","none"
"Aurora",NA,NA,NA,NA,NA,NA,NA
"Canary",NA,NA,NA,NA,NA,NA,NA
"Chilipepper",NA,NA,NA,NA,NA,NA,NA
"Darkblotched",NA,NA,NA,NA,NA,NA,NA
"Dover",NA,NA,NA,NA,NA,NA,NA
"English",NA,NA,NA,NA,NA,NA,NA
"Petrale",NA,NA,NA,NA,NA,NA,NA
"POP",NA,NA,NA,NA,NA,NA,NA
"Rex",NA,NA,NA,NA,NA,NA,NA
"Sablefish",NA,NA,NA,NA,NA,NA,NA
"Sharpchin",NA,NA,NA,NA,NA,NA,NA
"Yellowtail",NA,NA,NA,NA,NA,NA,NA
"Mean abs. error",NA,NA,NA,NA,NA,NA,NA
